Table 1.10. Gross Domestic Income by Type of Income
Table 1.10. Gross Domestic Income by Type of Income
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic income",103.8,92.6,76.7,59.2,56.6,66.4,74.5,83.6,93.0,86.7,92.1,101.8,129.0,166.9,204.9,221.9,224.2,226.3,246.8,274.7,270.7,298.6,343.5,364.7,385.4,387.6,423.3,451.4,474.4,480.6,521.5,543.7,563.1,604.0,638.9,684.5,741.5,808.3,856.6,937.5,1016.0,1068.0,1155.3,1271.9,1419.2,1537.8,1671.6,1852.8,2062.4,2328.3,2582.3,2813.0,3169.3,3335.1,3577.2,3996.2,4284.9,4499.8,4811.6,5233.6,5573.8,5867.8,6065.4,6404.8,6703.1,7148.0,7547.6,8016.1,8567.3,9119.2,9660.5,10346.7,10698.7,11010.8,11480.6,12245.3,13096.2,14025.4,14461.9,14578.7,14286.3,14979.5,15624.0,16407.6,16910.5,17749.1,18388.0,18752.0,19544.2,20593.1,21482.9
2,"Compensation of employees, paid",51.4,47.2,40.1,31.3,29.8,34.6,37.7,43.3,48.3,45.4,48.6,52.7,66.2,88.0,112.7,124.4,126.4,122.5,132.3,144.2,144.3,158.2,185.7,201.1,215.3,214.2,230.6,249.4,262.7,264.7,285.9,301.4,310.6,332.3,350.5,376.0,405.4,449.2,481.8,530.7,584.4,623.3,665.0,731.3,812.7,887.7,947.3,1048.4,1165.9,1316.9,1477.3,1622.3,1792.7,1893.2,2012.7,2216.1,2387.5,2543.8,2723.8,2948.9,3140.9,3342.7,3453.3,3671.2,3820.6,4010.2,4202.2,4421.1,4713.2,5075.7,5409.9,5854.6,6046.3,6143.4,6362.3,6729.3,7077.7,7491.3,7889.4,8068.7,7767.2,7933.0,8234.0,8575.4,8843.6,9259.7,9709.5,9977.1,10435.0,10967.7,11458.5
3,"    Wages and salaries",50.5,46.2,39.2,30.5,29.0,33.7,36.7,42.0,46.1,43.0,46.0,49.9,62.1,82.1,105.8,116.8,117.6,112.0,123.0,135.5,134.7,147.2,171.6,185.6,199.0,197.3,212.2,229.1,240.0,241.4,259.9,273.0,280.7,299.5,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1120.7,1253.4,1373.5,1511.5,1587.7,1677.7,1845.1,1982.8,2104.1,2257.6,2440.6,2584.3,2743.5,2817.2,2968.5,3082.7,3240.6,3422.1,3620.6,3881.2,4186.2,4465.2,4832.4,4961.6,5004.1,5147.0,5430.8,5703.0,6068.3,6407.3,6545.9,6257.3,6380.1,6634.0,6936.1,7122.6,7485.8,7869.6,8102.2,8485.0,8910.1,9337.0
4,"            To persons",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,135.4,134.6,147.1,171.5,185.5,198.9,197.1,212.0,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1,551.3,584.3,638.5,708.5,772.0,814.5,899.4,993.8,1120.2,1252.9,1373.0,1510.9,1587.0,1676.9,1844.3,1981.9,2101.4,2255.3,2438.8,2582.0,2740.0,2813.2,2963.7,3077.5,3234.6,3415.8,3614.3,3874.6,4179.2,4453.7,4820.6,4949.1,4991.3,5133.6,5416.3,5686.6,6051.7,6391.2,6528.7,6243.4,6366.6,6620.1,6921.8,7107.4,7469.8,7852.9,8084.9,8468.1,8892.9,9318.1
5,"            To the rest of the world",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4.0,4.8,5.1,6.0,6.3,6.3,6.7,7.0,11.5,11.9,12.5,12.8,13.4,14.5,16.4,16.6,16.1,17.2,13.9,13.5,13.9,14.3,15.2,15.9,16.7,17.3,17.0,17.2,18.9
6,"    Supplements to wages and salaries",0.9,1.0,0.9,0.8,0.8,0.8,0.9,1.3,2.2,2.4,2.6,2.9,4.1,5.9,6.9,7.6,8.8,10.5,9.3,8.8,9.6,11.0,14.1,15.5,16.3,16.9,18.4,20.2,22.6,23.4,26.0,28.4,29.9,32.8,35.6,38.2,41.7,48.9,52.8,58.8,66.1,71.8,80.4,92.5,103.9,115.4,132.4,148.6,171.7,196.2,223.9,248.8,281.2,305.5,335.0,371.0,404.8,439.7,466.1,508.2,556.6,599.2,636.0,702.7,737.9,769.6,780.1,800.5,832.0,889.5,944.8,1022.2,1084.7,1139.3,1215.3,1298.5,1374.7,1422.9,1482.1,1522.7,1509.9,1552.9,1600.0,1639.2,1721.0,1773.9,1839.9,1874.9,1950.0,2057.6,2121.5
7,Taxes on production and imports,6.8,7.0,6.7,6.6,6.9,7.6,8.0,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23.0,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47.0,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,760.0,805.6,868.1,942.4,997.0,1036.8,1049.7,1026.8,1063.1,1103.7,1136.1,1185.8,1237.7,1273.5,1309.1,1364.0,1457.1,1533.6
8,Less: Subsidies1,0.0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.7,0.5,0.5,0.6,1.0,1.1,1.4,0.4,0.5,0.5,0.8,1.0,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2.0,2.3,2.2,2.7,3.0,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15.0,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27.0,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.8,60.0,58.0,59.7,58.1,57.2,61.7,59.9,63.3,73.0
9,Net operating surplus,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,130.1,131.0,137.0,149.4,159.3,171.6,190.4,204.5,207.2,221.2,227.4,221.2,245.6,278.3,315.9,321.6,355.0,402.9,454.1,522.3,559.6,571.7,665.3,679.1,759.9,913.0,970.5,972.2,1040.2,1155.3,1223.2,1238.6,1250.2,1320.1,1412.6,1569.5,1699.9,1874.2,2036.9,2130.7,2223.2,2318.1,2383.8,2490.8,2642.7,2872.4,3165.9,3464.4,3337.6,3153.8,3179.4,3648.9,3871.9,4178.6,4259.1,4490.1,4539.3,4519.4,4656.2,4919.0,5086.3
10,"    Private enterprises",35.2,28.3,20.5,13.1,12.1,16.3,20.9,23.4,26.4,22.8,25.1,29.5,40.1,52.9,62.3,63.5,60.7,62.6,67.6,80.0,73.8,84.9,96.4,96.7,98.1,98.9,112.6,114.4,117.3,117.0,129.6,130.5,136.7,149.1,158.5,170.7,189.6,204.1,206.9,220.7,227.2,222.2,247.1,279.2,317.8,324.0,359.0,405.3,457.1,524.6,562.3,576.2,670.0,682.5,761.8,913.9,968.6,969.6,1037.5,1149.7,1215.9,1234.9,1241.9,1309.6,1401.1,1556.8,1683.4,1856.4,2018.9,2113.8,2206.4,2306.7,2378.2,2483.2,2637.6,2872.1,3169.3,3470.3,3350.4,3170.6,3194.0,3667.4,3889.8,4192.3,4272.8,4498.6,4542.1,4521.6,4660.4,4923.6,5098.4
